iter	Passed	Remaining
702	3531	1491
703	3535	1486
704	3537	1480
705	3543	1475
706	3559	1475
707	3597	1483
708	3611	1482
709	3613	1476
710	3631	1475
711	3649	1476
712	3651	1469
713	3667	1468
714	3676	1465
715	3687	1462
716	3690	1456
717	3693	1450
718	3694	1443
719	3696	1437
720	3702	1432
721	3703	1426
722	3706	1419
723	3707	1413
724	3707	1406
725	3708	1399
726	3709	1393
727	3755	1403
728	3774	1403
729	3776	1396
730	3779	1390
731	3798	1390
732	3800	1384
733	3803	1378
734	3819	1376
735	3832	1374
736	3835	1368
737	3847	1365
738	3850	1359
739	3880	1363
740	3889	1359
741	3896	1354
742	3907	1351
743	3924	1350
744	3995	1367
745	4006	1364
746	4007	1357
747	4009	1350
748	4010	1343
749	4042	1347
750	4044	1340
751	4074	1343
752	4076	1337
753	4085	1332
754	4088	1326
755	4092	1320
756	4101	1316
757	4108	1311
758	4139	1314
759	4167	1316
760	4169	1309
761	4170	1302
762	4171	1295
763	4173	1289
764	4174	1282
765	4188	1279
766	4190	1272
767	4192	1266
768	4193	1259
769	4194	1253
770	4196	1246
771	4203	1241
772	4204	1234
773	4205	1227
774	4205	1221
775	4206	1214
776	4207	1207
777	4208	1200
778	4209	1194
779	4210	1187
780	4211	1180
781	4212	1174
782	4214	1168
783	4215	1161
784	4216	1154
785	4218	1148
786	4220	1142
787	4266	1147
788	4268	1141
789	4273	1135
790	4274	1129
791	4288	1126
792	4322	1128
793	4331	1123
794	4333	1117
795	4334	1110
796	4336	1104
797	4339	1098
798	4346	1093
799	4378	1094
800	4388	1090
801	4471	1104
802	4473	1097
803	4474	1090
804	4475	1084
805	4476	1077
806	4477	1070
807	4478	1064
808	4480	1057
809	4481	1051
810	4483	1044
811	4485	1038
812	4487	1032
813	4488	1025
814	4489	1019
815	4491	1012
816	4492	1006
817	4493	999
818	4494	993
819	4495	986
820	4498	980
821	4500	974
822	4503	968
823	4551	972
824	4554	966
825	4581	965
826	4583	958
827	4585	952
828	4595	948
829	4600	942
830	4602	935
831	4604	929
832	4607	923
833	4612	918
834	4614	911
835	4616	905
836	4629	901
837	4636	896
838	4640	890
839	4645	884
840	4649	878
841	4650	872
842	4651	866
843	4657	860
844	4658	854
845	4661	848
846	4667	843
847	4673	837
848	4675	831
849	4678	825
850	4682	819
851	4683	813
852	4687	807
853	4689	801
854	4690	795
855	4694	789
856	4705	785
857	4711	779
858	4714	773
859	4722	768
860	4723	762
861	4725	756
862	4726	750
863	4730	744
864	4731	738
865	4733	732
866	4734	726
867	4735	720
868	4737	714
869	4738	708
870	4739	702
871	4747	696
872	4750	691
873	4752	685
874	4754	679
875	4761	673
876	4762	667
877	4768	662
878	4771	656
879	4774	651
880	4778	645
881	4779	639
882	4782	633
883	4787	628
884	4788	622
885	4790	616
886	4792	610
887	4794	604
888	4801	599
889	4808	594
890	4811	588
891	4817	583
892	4819	577
893	4820	571
894	4824	565
895	4828	560
896	4834	555
897	4838	549
898	4840	543
899	4841	537
900	4843	532
901	4850	526
902	4852	521
903	4853	515
904	4854	509
905	4856	503
906	4857	498
907	4858	492
908	4860	486
909	4864	481
910	4865	475
911	4866	469
912	4868	463
913	4870	458
914	4874	452
915	4876	447
916	4878	441
917	4879	435
918	4880	430
919	4882	424
920	4883	418
921	4891	413
922	4896	408
923	4901	403
924	4907	397
925	4910	392
926	4912	386
927	4914	381
928	4916	375
929	4921	370
930	4923	364
931	4924	359
932	4927	353
933	4929	348
934	4930	342
935	4931	337
936	4936	331
937	4938	326
938	4939	320
939	4940	315
940	4942	309
941	4944	304
942	4946	298
943	4956	294
944	4962	288
945	4969	283
946	4970	278
947	4973	272
948	4974	267
949	4976	261
950	4977	256
951	4978	251
952	4983	245
953	4984	240
954	4985	234
955	4986	229
956	4988	224
957	4990	218
958	4992	213
959	4993	208
960	4994	202
961	4998	197
962	4999	192
963	5001	186
964	5002	181
965	5003	176
966	5004	170
967	5006	165
968	5007	160
969	5008	154
970	5010	149
971	5015	144
972	5016	139
973	5017	133
974	5019	128
975	5020	123
976	5022	118
977	5027	113
978	5031	107
979	5033	102
980	5034	97
981	5036	92
982	5037	87
983	5042	81
984	5044	76
985	5045	71
986	5050	66
987	5078	61
988	5082	56
989	5088	51
990	5089	46
991	5090	41
992	5091	35
993	5093	30
994	5094	25
995	5097	20
996	5098	15
997	5099	10
998	5104	5
999	5105	0
